There,are,two,end,users,namely,the,hotel,staff,(customer,service,representative),and,hotel,managers.,,,,,,,,,,,,,,,,,,,,,,,,,,
EM,EM,RS,,,,,,ES,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales,manager,is,responsible,for,properly,allocating,the,selected,product,according,to,the,customer�s,choice,,,,,,,,,,,,,,,,,,,,,,,,,,
NNS,NN,VBZ,JJ,IN,RB,VBG,DT,VBN,NN,VBG,TO,DT,JJ,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
EM,EM,,,,,RS,,,ES,,,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales,manager,keeps,track,of,each,product,item's,stock,for,selling,purpose.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNS,NN,VBZ,NN,IN,DT,NN,NNS,NN,IN,VBG,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM,EM,,RS,,,EM,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales,manager,is,responsible,for,delivering,product,to,the,customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNS,NN,VBZ,JJ,IN,VBG,NN,TO,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM,EM,,,,RS,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounts,manager,will,look,after,the,accounting,activities,of,the,enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JJ,NN,MD,VB,IN,DT,VBG,NNS,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM,EM,,RS,,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounts,Manager,is,responsible,for,contacting,the,banks,for,the,validation,of,the,a/c,number,provided,by,the,customer,,,,,,,,,,,,,,,,,,,,,,
NNPS,NNP,VBZ,JJ,IN,VBG,DT,NNS,IN,DT,NN,IN,DT,NN,NN,VBN,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,
EM,EM,,,,RS,,ES,,,RS,,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounts,manager,manages,payment,to,employees.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JJ,NN,VBZ,NN,TO,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM,EM,RS,ES,RS,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounts,manager,keeps,track,of,all,the,payment,transactions,made,by,the,customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JJ,NN,VBZ,NN,IN,PDT,DT,NN,NNS,VBN,IN,DT,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM,EM,,RS,,,,AM,AM,,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visitors,can,only,visit,the,site,without,registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNS,MD,RB,VB,DT,NN,IN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,,RS,,ES,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer,Care,is,responsible,for,receiving,complaints,queries,and,feedback,from,the,customers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,NNP,VBZ,JJ,IN,VBG,JJ,NNS,CC,NN,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM,EM,,,,RS,AS,AS,,AS,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer,Care,provides,feasible,solutions,to,the,customers,on,their,complaints,and,queries.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,NNP,VBZ,JJ,NNS,TO,DT,NNS,IN,PRP$,NNS,CC,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM,EM,RM,,RM,,,ES,,,AS,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,shall,calculate,tax,for,the,order.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,NN,IN,DT,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,AS,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,shall,display,tax,information,for,the,order.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,NN,NN,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,AM,AM,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,shall,display,available,payment,methods,for,payment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,JJ,NN,NNS,IN,NNP,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,AM,AM,AM,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,shall,allow,user,to,select,the,payment,method,for,order.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,NN,TO,VB,DT,NN,NN,IN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ES,,RS,,AM,AM,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,shall,maintain,customer,email,information,as,a,required,part,of,customer,profile.,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,NN,NN,NN,IN,DT,VBN,NN,IN,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,AM,AM,,,,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,shall,send,an,order,confirmation,to,the,user,through,email.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,DT,NN,NN,TO,DT,NN,IN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,,AM,AM,,,ES,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,shall,allow,user,to,view,detailed,sitemap.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,NN,TO,VB,JJ,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ES,,RS,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,shall,display,the,reviews,and,ratings,of,each,product,when,it,is,selected.,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,DT,NNS,CC,NNS,IN,DT,NN,PRP,VBZ,NN,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,,AS,,AS,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,shall,enable,the,user,to,enter,their,reviews,and,ratings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,DT,NN,TO,VB,PRP$,NNS,CC,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ES,,,,AS,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,shall,display,different,shipping,options,provided,by,shipping,department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,JJ,NN,NNS,VBN,IN,VBG,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,,ES,AS,RS,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,shall,enable,user,to,select,the,shipping,method,during,payment,process.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,NN,TO,VB,DT,NN,NN,IN,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ES,,RS,,ES,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,shall,display,the,shipping,charges.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,DT,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,,ES,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,shall,display,tentative,duration,for,shipping.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,JJ,NN,IN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,AM,AM,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,shall,display,the,most,frequently,searched,items,by,the,user,in,the,profile.,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,DT,JJS,RB,VBD,NNS,IN,DT,NN,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,,,AM,AM,ES,RS,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,shall,allow,user,to,register,for,newsletters,and,surveys,in,the,profile.,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,NN,TO,VB,IN,NNS,CC,NNS,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ES,,RS,,ES,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,shall,display,both,the,active,and,completed,order,history,in,the,customer,profile.,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,DT,DT,JJ,CC,VBN,NN,NN,IN,DT,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,,,AS,,AS,EM,EM,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,shall,enable,user,to,enter,the,search,text,on,the,screen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,NN,TO,VB,DT,NN,NN,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ES,,RS,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,shall,enable,user,to,select,multiple,options,on,the,screen,to,search.,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,NN,TO,VB,JJ,NNS,IN,DT,NN,TO,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ES,,RS,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,shall,display,all,the,matching,products,based,on,the,search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,PDT,DT,JJ,NNS,VBN,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,,RS,,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,shall,display,only,10,matching,result,on,the,current,screen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,RB,CD,VBG,NN,IN,DT,JJ,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,,RS,,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,shall,enable,user,to,navigate,between,the,search,results.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,NN,TO,VB,IN,DT,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ES,,RS,,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,allows,administrator,to,access,the,confidential,data,through,login,only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,VBZ,NN,TO,VB,DT,JJ,NN,IN,JJ,NN,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ES,,RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Administrator,can,login,into,the,system,by,providing,user,name,and,password.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,IN,DT,NN,IN,VBG,NN,NN,CC,NN,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,ES,,,,,,AM,AM,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Administrator,can,access,metal,details,after,login,into,,system.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,NN,NNS,IN,NN,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RS,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rates,for,each,metal,are,changing,daily,,so,they,need,to,be,set,for,transactions.,,,,,,,,,,,,,,,,,,,,,,,,,
NNS,IN,DT,NN,VBP,VBG,VBG,IN,PRP,VBP,TO,VB,VBN,IN,NNP,NNP,,,,,,,,,,,,,,,,,,,,,,,,,
AS,,,ES,,,,,,,,,,RS,,ES,,,,,,,,,,,,,,,,,,,,,,,,,
Opening,stock,of,each,metal,for,a,day,is,stored,by,administrator.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NN,NN,IN,DT,NN,IN,DT,NN,VBZ,VBN,IN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,AM,,,ES,,,AS,,RS,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,will,keep,track,of,the,ornaments,and,orders.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,NN,IN,DT,NNS,CC,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,,RS,,,ES,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,information,about,ordered,or,manufactured,ornaments,has,to,be,stored,into,the,database.,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,IN,VBD,CC,VBD,NNS,VBZ,TO,VB,VBN,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AS,,AS,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,specific,id,is,provided,to,the,ornament,along,with,its,name.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,JJ,NN,VBZ,VBN,TO,DT,NN,IN,IN,PRP$,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AS,,,,,ES,,,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,weight,of,each,ornament,is,stored,for,further,calculations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,IN,DT,NN,VBZ,VBN,IN,JJ,NN,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AS,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,will,keep,track,of,all,orders,given,by,the,customer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,NN,IN,DT,NNS,VBN,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,,RS,,,ES,,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,will,generate,order,no,of,ornament,for,a,particular,customer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,NN,RB,IN,NN,IN,DT,JJ,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RS,AM,AM,,ES,,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order,date,and,delivery,date,for,an,order,is,also,stored,by,the,system.,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,NN,CC,NN,NN,IN,DT,NN,VBZ,RB,VBN,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,AM,,AM,AM,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,will,have,to,keep,information,about,customer,and,their,transactions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,TO,VB,NN,IN,NN,CC,PRP$,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,,,RS,,,ES,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,will,register,every,new,customer,and,employee.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,DT,JJ,NN,CC,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RS,,,ES,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,will,generate,unique,customer,id.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,JJ,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RS,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,will,keep,track,of,all,dealers,and,workers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,NN,IN,DT,NNS,CC,NN,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,,RS,,,ES,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,details,of,each,dealer,are,stored,into,the,database.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NNS,IN,DT,NN,VBP,VBN,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AS,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,will,store,the,worker,information,along,with,the,task,allocated,to,every,worker.,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,DT,NN,NN,RP,IN,DT,NN,VBN,TO,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RS,,AM,AM,,,,AM,AM,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,provides,billing,facility.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,VBZ,VBG,NN,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,RS,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It,will,generate,bill,for,customer,along,with,customer,details,and,purchased,ornament,details.,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRP,MD,VB,NN,IN,NN,IN,IN,NN,NNS,CC,VBD,JJ,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ES,RS,ES,,,AM,AM,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,will,provide,unique,bill,no,for,each,bill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,JJ,NN,RB,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,AM,AM,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,will,be,able,to,generate,profit-loss,ratio,based,on,transactions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,JJ,TO,VB,JJ,NN,VBN,IN,NNP,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,,,,RS,AM,AM,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,total,sale,of,stock,,LBT,and,VAT,paid,are,details,calculated,by,the,system.,,,,,,,,,,,,,,,,,,,,,,,,,
DT,JJ,NN,IN,NNP,NNP,CC,NNP,VBN,VBP,NNS,VBN,IN,DT,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,
,EM,EM,,,,AS,,AS,,,,RS,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,
System,will,generate,statistical,report,for,all,the,transactions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,JJ,NN,IN,PDT,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RM,RM,RM,,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,will,provide,access,to,confidential,data,for,managers,of,outlet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,NN,TO,JJ,NNS,IN,NNS,IN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,RS,,EM,EM,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Administrator,assigns,login,and,password,for,managers,at,each,branch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB,VBZ,NN,CC,NN,IN,NNS,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AS,,AS,,ES,RS,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Address,details,of,all,the,outlet,is,maintained,by,the,admin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JJ,NNS,IN,PDT,DT,NN,VBZ,VBN,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM,EM,,,,,,RS,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,authenticates,and,validates,login,and,password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,VBZ,CC,VBZ,NN,CC,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,RS,,,ES,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,will,facilitate,centralized,administration,for,the,bakery.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,JJ,NN,IN,DT,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,,,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,will,prompt,user,id,and,password,for,authorised,users.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,NN,NN,CC,NN,IN,JJ,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,AM,AM,,AS,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,will,maintain,employee,database,that,will,include,employee_id,,employee,details,and,branch,details.,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,NN,NN,WDT,MD,VB,JJ,,NNS,CC,NN,NN,NNP,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,ES,,,,,AS,,EM,EM,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,will,generate,review,reports,of,the,transaction,to,the,administrator,for,every,branch.,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,NN,NNS,IN,DT,NN,TO,DT,NN,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RM,EM,EM,RS,,ES,,,,,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,will,provide,computation,of,daily,,weekly,,monthly,and,annual,transaction.,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,NN,IN,CD,JJ,JJ,CC,JJ,NN,NN,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,,,AS,,AS,,AS,,AS,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,will,maintain,a,link,between,the,headquarter,,the,bakery,branch,and,the,local,producer.,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,DT,NN,IN,DT,JJ,DT,NN,NN,CC,DT,JJ,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,RS,,,ES,,,EM,EM,,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,
The,system,will,keep,the,track,of,orders,of,the,customer,,products,made,in,bakery,and,bill,of,the,customer.,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,DT,NN,IN,NNS,IN,DT,JJ,NNS,VBN,IN,NN,CC,NN,IN,DT,NN,NN,,,,,,,,,,,,,,,,,,,,
,ES,,RS,,,,AS,,,ES,,AM,AM,,,,AS,,,,,,,,,,,,,,,,,,,,,,,
The,specific,order,no,will,be,provided,to,the,order,with,its,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,JJ,NN,RB,MD,VB,VBN,TO,DT,NN,IN,PRP$,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AM,AM,,,,,,ES,,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,will,have,registration,of,order.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,NN,IN,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RM,RM,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,weight,for,product,will,be,stored,in,database,for,billing,purpose,with,order,date,and,delivery,date.,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,IN,NN,MD,VB,VBN,IN,NN,IN,NN,NN,IN,NN,NN,CC,NN,NN,,,,,,,,,,,,,,,,,,,,,,,
,AS,,ES,,,RS,,,,ES,,,AM,AM,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,
The,products,are,registered,in,the,database.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NNS,VBP,VBN,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,products,are,provided,with,specific,id,and,name.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NNS,VBP,VBN,IN,JJ,NN,CC,NN,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,,,AM,AM,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,weight,of,product,is,stored,in,the,database,with,help,of,this,cost,will,be,calculated.,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,IN,NN,VBZ,VBN,IN,DT,NN,IN,NN,IN,DT,NN,MD,VB,VBN,,,,,,,,,,,,,,,,,,,,,,,,
,AS,,ES,,,,,,,,,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingredients,required,to,bake,the,product,are,also,stored,in,the,database.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNS,VBN,TO,VB,DT,NN,VBP,RB,VBN,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,RM,RM,RM,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,orders,are,stored,in,the,database,with,order,no.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NNS,VBP,VBN,IN,DT,NN,IN,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,,,,,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,generates,bill,,with,unique,bill,no,,for,the,customer,along,with,the,purchased,product.,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,VBZ,NNS,IN,JJ,NN,NN,IN,DT,NN,IN,IN,DT,JJ,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,
,ES,RS,ES,,,AM,AM,AM,,RS,,ES,,,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,
The,system,will,manage,database,for,local,producer,and,stock.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,NN,IN,JJ,NN,CC,NN,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,,,EM,EM,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,will,keep,the,track,of,all,local,producers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,DT,NN,IN,DT,JJ,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RM,,RM,,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,details,of,local,producers,will,be,maintained,in,the,database,with,id,,name.,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NNS,IN,JJ,NNS,MD,VB,VBN,IN,DT,NN,IN,NN,NN,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,EM,EM,,,,,,,,AS,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,
